Index,UMAP1,UMAP2,ICI_target_map
IMVigor210-0257bb-ar-0257bbb,6.855793,12.128453,PDL1
IMVigor210-025b45-ar-025b45c,8.321783,16.212912,PDL1
IMVigor210-032c64-ar-032c642,6.381008,12.779703,PDL1
IMVigor210-0571f1-ar-0571f17,8.48166,11.63791,PDL1
IMVigor210-065890-ar-0658907,6.4310985,11.525114,PDL1
IMVigor210-0684af-ar-0684af7,4.082783,11.442103,PDL1
IMVigor210-075e03-ar-075e037,4.523825,11.793112,PDL1
IMVigor210-07a93a-ar-07a93a2,7.123576,14.023533,PDL1
IMVigor210-08cce2-ar-08cce2f,5.384318,12.968358,PDL1
IMVigor210-09c84e-ar-09c84ec,8.557155,14.027987,PDL1
IMVigor210-0a0f2b-ar-0a0f2ba,5.8327203,14.436424,PDL1
IMVigor210-0a7c20-ar-0a7c209,5.4095645,17.101427,PDL1
IMVigor210-0bdb34-ar-0bdb342,8.092622,15.663663,PDL1
IMVigor210-0ce9c9-ar-0ce9c98,5.557744,16.941683,PDL1
IMVigor210-0d855c-ar-0d855cf,5.875062,10.858072,PDL1
IMVigor210-0f956e-ar-0f956e7,7.8342338,14.969131,PDL1
IMVigor210-110501-ar-110501d,6.1653066,13.261979,PDL1
IMVigor210-12502d-ar-12502d9,7.399917,11.911487,PDL1
IMVigor210-149386-ar-1493861,7.1785164,12.293241,PDL1
IMVigor210-14df63-ar-14df63a,7.8143783,12.419508,PDL1
IMVigor210-166a41-ar-166a419,8.18572,15.898432,PDL1
IMVigor210-180398-ar-1803982,7.323281,11.898388,PDL1
IMVigor210-181b63-ar-181b638,6.188278,14.281027,PDL1
IMVigor210-187e05-ar-187e056,7.383494,13.863995,PDL1
IMVigor210-18a4da-ar-18a4dab,6.5032434,12.030954,PDL1
IMVigor210-18b935-ar-18b9351,7.0729866,12.810678,PDL1
IMVigor210-18bc10-ar-18bc107,6.5901885,11.881455,PDL1
IMVigor210-18be5b-ar-18be5b3,6.596419,12.141731,PDL1
IMVigor210-19fec8-ar-19fec8f,5.583158,15.219948,PDL1
IMVigor210-1a87df-ar-1a87df7,5.060774,17.322262,PDL1
IMVigor210-1ab1b2-ar-1ab1b28,4.7237473,12.951777,PDL1
IMVigor210-1abf01-ar-1abf01d,6.786027,12.412626,PDL1
IMVigor210-1ac4e3-ar-1ac4e3d,5.0047736,12.382687,PDL1
IMVigor210-1c0ecf-ar-1c0ecfb,5.238337,16.373669,PDL1
IMVigor210-1c8b08-ar-1c8b086,8.4296875,16.05543,PDL1
IMVigor210-1dda30-ar-1dda30f,8.713089,15.435642,PDL1
IMVigor210-1e9c4d-ar-1e9c4d1,9.151316,12.829761,PDL1
IMVigor210-1f66db-ar-1f66db5,5.5639625,16.636295,PDL1
IMVigor210-1f83eb-ar-1f83ebd,5.2014556,10.788216,PDL1
IMVigor210-1fa6bc-ar-1fa6bcb,5.1268253,13.538381,PDL1
IMVigor210-203dcf-ar-203dcf1,8.382356,12.305227,PDL1
IMVigor210-2070b4-ar-2070b41,5.727289,11.612952,PDL1
IMVigor210-230959-ar-2309593,4.8745522,12.115054,PDL1
IMVigor210-23aa15-ar-23aa15d,4.8533373,11.858177,PDL1
IMVigor210-25510f-ar-25510f3,6.733518,14.64826,PDL1
IMVigor210-2570ff-ar-2570ff4,9.068074,13.776707,PDL1
IMVigor210-26104d-ar-26104d5,6.567618,14.607162,PDL1
IMVigor210-262422-ar-2624229,8.059848,15.63582,PDL1
IMVigor210-27299a-ar-27299ae,4.624574,12.210015,PDL1
IMVigor210-286870-ar-2868703,5.994096,16.067738,PDL1
IMVigor210-28e603-ar-28e6031,5.426551,11.011083,PDL1
IMVigor210-297c03-ar-297c030,8.679026,14.025014,PDL1
IMVigor210-29da92-ar-29da928,5.4658723,13.368642,PDL1
IMVigor210-2b672f-ar-2b672f4,5.012277,13.609946,PDL1
IMVigor210-2bba8c-ar-2bba8cb,7.4203544,15.6618185,PDL1
IMVigor210-2c9586-ar-2c95861,5.9077897,11.759624,PDL1
IMVigor210-2dc3f0-ar-2dc3f04,9.420011,12.864445,PDL1
IMVigor210-2e7aa8-ar-2e7aa8f,6.844193,14.040642,PDL1
IMVigor210-2e9ac0-ar-2e9ac0b,7.069398,14.808173,PDL1
IMVigor210-2eb07d-ar-2eb07de,9.358045,13.495859,PDL1
IMVigor210-2f2289-ar-2f22893,6.9545617,14.34323,PDL1
IMVigor210-30b5c6-ar-30b5c6c,4.6438084,11.172259,PDL1
IMVigor210-30cf07-ar-30cf07d,8.085878,13.148866,PDL1
IMVigor210-31d917-ar-31d9176,5.649784,15.986484,PDL1
IMVigor210-31f41d-ar-31f41dd,6.6345706,14.327262,PDL1
IMVigor210-3330c0-ar-3330c03,8.078855,11.289686,PDL1
IMVigor210-34430e-ar-34430ef,5.811444,13.3077135,PDL1
IMVigor210-36851b-ar-36851bc,5.657596,12.830607,PDL1
IMVigor210-36a922-ar-36a9225,8.005613,13.934927,PDL1
IMVigor210-36d873-ar-36d8739,5.943888,15.449772,PDL1
IMVigor210-3894ac-ar-3894ac3,5.4541254,13.844923,PDL1
IMVigor210-39eb94-ar-39eb94f,4.7947044,16.213997,PDL1
IMVigor210-3a1c96-ar-3a1c963,7.035824,11.938759,PDL1
IMVigor210-3b1066-ar-3b1066e,8.292803,11.055173,PDL1
IMVigor210-3b15b4-ar-3b15b4c,5.3121934,17.038462,PDL1
IMVigor210-3cb94b-ar-3cb94b0,6.176583,12.759121,PDL1
IMVigor210-3e04eb-ar-3e04eb9,6.6962333,14.325194,PDL1
IMVigor210-3e8baf-ar-3e8baff,6.295334,12.362297,PDL1
IMVigor210-3ee5dc-ar-3ee5dcd,17.148537,6.864596,PDL1
IMVigor210-415f36-ar-415f36a,7.337152,14.317895,PDL1
IMVigor210-4305ab-ar-4305ab9,3.7203665,12.176877,PDL1
IMVigor210-4501e4-ar-4501e41,4.99776,17.38803,PDL1
IMVigor210-45c8e6-ar-45c8e64,5.3643055,16.967972,PDL1
IMVigor210-468a9e-ar-468a9e1,6.8560243,15.004066,PDL1
IMVigor210-47fc46-ar-47fc46c,12.149875,16.212875,PDL1
IMVigor210-49d487-ar-49d4875,8.706584,16.259502,PDL1
IMVigor210-49f9b2-ar-49f9b2e,5.2424536,12.5640135,PDL1
IMVigor210-4b0175-ar-4b0175e,5.7487397,13.377069,PDL1
IMVigor210-4b7ea0-ar-4b7ea01,5.0334935,11.280046,PDL1
IMVigor210-4caabd-ar-4caabd6,5.036213,10.613161,PDL1
IMVigor210-523468-ar-5234688,5.3113885,11.583983,PDL1
IMVigor210-52500c-ar-52500ca,4.2558656,12.4865465,PDL1
IMVigor210-52e3fa-ar-52e3fa3,8.430134,11.258853,PDL1
IMVigor210-548551-ar-548551e,3.4473593,13.732205,PDL1
IMVigor210-54e58f-ar-54e58f1,4.9635777,13.247067,PDL1
IMVigor210-553c3c-ar-553c3c3,9.511713,13.165726,PDL1
IMVigor210-557dde-ar-557dde1,6.85117,13.08257,PDL1
IMVigor210-560f23-ar-560f23d,10.025591,12.960469,PDL1
IMVigor210-563d62-ar-563d623,5.721046,14.20893,PDL1
IMVigor210-568ce1-ar-568ce16,7.6796236,13.9848995,PDL1
IMVigor210-572f19-ar-572f197,6.846999,12.667537,PDL1
IMVigor210-5767dd-ar-5767dd7,7.089759,12.925144,PDL1
IMVigor210-58e783-ar-58e7832,3.3472452,12.730906,PDL1
IMVigor210-59f392-ar-59f3928,7.664564,13.557036,PDL1
IMVigor210-59fda9-ar-59fda90,8.981232,16.615738,PDL1
IMVigor210-5a2347-ar-5a2347c,4.210514,12.897975,PDL1
IMVigor210-5b57e4-ar-5b57e47,6.180945,11.645842,PDL1
IMVigor210-5c139c-ar-5c139c5,5.505393,14.476998,PDL1
IMVigor210-5cc2d9-ar-5cc2d90,7.7840037,16.00818,PDL1
IMVigor210-5cfa16-ar-5cfa169,7.6461277,15.192569,PDL1
